country,destination,attractiveness,cost,rating,visitors,score_moyen,sentiment_final,flight_price,weather,conversion_rate,score_promotion,flag_opportunite,flag_bizarre,meteo_favorable,vol_abordable,rank_promotion,cible_top5,cible_recommandation,demand_index_moy,demand_index_dernier,tendance_moy,variation_moy
Spain,City_5,7.63,269,3.83,6485263,2.99,neutral,low,average,,6.182,0,0,0,1,1,1,1,81.639,88.3,0.389,0.346
Spain,City_13,7.68,623,3.63,7533878,,,medium,bad,,3.317,0,0,0,0,14,0,0,81.639,88.3,0.389,0.346
Spain,City_15,8.3,910,4.82,11919051,2.8,neutral,medium,average,,3.577,0,0,0,0,10,0,0,81.639,88.3,0.389,0.346
Spain,City_39,8.85,1009,3.54,7173993,3.67,neutral,high,bad,,2.848,0,0,0,0,19,0,0,81.639,88.3,0.389,0.346
Spain,City_10,9.04,680,4.52,16246641,3.1,neutral,,,0.03,4.189,0,0,0,0,5,1,1,81.639,88.3,0.389,0.346
Spain,City_29,9.97,1240,3.89,11510968,3.95,neutral,high,bad,,2.854,0,0,0,0,18,0,0,81.639,88.3,0.389,0.346
Spain,City_3,9.28,1419,4.86,10320379,2.31,neutral,low,good,,3.668,0,0,1,1,9,0,0,81.639,88.3,0.389,0.346
Italy,City_6,7.97,950,4.44,548967,2.33,negative,,,,5.426,0,0,0,0,2,1,1,116.433,116.3,0.444,-0.257
Italy,City_21,8.28,1344,4.93,19728764,,,,,,3.097,0,0,0,0,16,0,0,116.433,116.3,0.444,-0.257
Italy,City_33,9.37,1000,4.6,17029238,1.44,negative,,,,3.106,0,0,0,0,15,0,0,116.433,116.3,0.444,-0.257
Italy,City_32,7.94,1451,4.57,12170856,3.18,negative,medium,average,,2.841,0,0,0,0,19,0,0,116.433,116.3,0.444,-0.257
Italy,City_7,9.19,456,3.82,3737173,,,high,average,0.12,4.924,0,0,0,0,4,1,1,116.433,116.3,0.444,-0.257
Italy,City_20,9.42,623,3.68,7633850,4.52,positive,high,good,,4.947,0,0,1,0,3,1,1,116.433,116.3,0.444,-0.257
Italy,City_36,7.83,1206,4.58,9603459,,,high,bad,,2.552,0,0,0,0,20,0,0,116.433,116.3,0.444,-0.257
Italy,City_19,8.7,637,3.69,14405079,1.49,negative,medium,average,,3.382,0,0,0,0,12,0,0,116.433,116.3,0.444,-0.257
Italy,City_8,9.82,986,4.62,4390172,2.75,neutral,low,good,,4.535,1,0,1,1,7,0,0,116.433,116.3,0.444,-0.257
Italy,City_44,7.63,1145,3.86,2411949,2.27,neutral,,,,3.275,0,0,0,0,13,0,0,116.433,116.3,0.444,-0.257
Italy,City_22,7.05,750,3.51,16862872,2.28,neutral,medium,average,,3.008,0,1,0,0,17,0,0,116.433,116.3,0.444,-0.257
Italy,City_35,9.95,1216,4.38,6350319,4.3,positive,,,,4.053,0,0,0,0,8,0,0,116.433,116.3,0.444,-0.257
Italy,City_14,8.54,1433,4.81,9641081,3.07,neutral,medium,good,,3.546,0,0,1,0,11,0,0,116.433,116.3,0.444,-0.257
Italy,City_41,7.66,600,3.85,17307021,4.04,neutral,,,,4.018,0,1,0,0,9,0,0,116.433,116.3,0.444,-0.257
Italy,City_43,8.48,1228,4.7,17098553,3.25,neutral,,,,3.247,0,0,0,0,14,0,0,116.433,116.3,0.444,-0.257
Italy,City_29,9.53,557,4.43,15061569,3.31,neutral,,,,4.806,0,0,0,0,5,1,1,116.433,116.3,0.444,-0.257
Italy,City_50,9.59,831,4.97,7864470,4.52,positive,,,,4.804,0,0,0,0,6,0,0,116.433,116.3,0.444,-0.257
Italy,City_25,9.26,1209,4.46,6100512,4.07,neutral,,,,3.712,0,0,0,0,10,0,0,116.433,116.3,0.444,-0.257
Italy,City_49,8.23,1132,4.73,10184213,2.42,neutral,low,bad,,2.969,0,0,0,1,18,0,0,116.433,116.3,0.444,-0.257
Italy,City_37,8.2,326,3.84,17685684,3.96,neutral,,,,5.663,0,0,0,0,1,1,1,116.433,116.3,0.444,-0.257
Japan,City_16,8.22,1176,4.96,1412104,4.14,positive,medium,average,,4.743,0,0,0,0,9,0,0,133.686,127.5,0.556,-0.231
Japan,City_19,8.23,263,4.1,4357033,2.56,neutral,,,,6.7,0,0,0,0,2,1,1,133.686,127.5,0.556,-0.231
Japan,City_12,9.33,823,3.7,15626114,4.5,positive,high,good,,4.337,0,0,1,0,11,0,0,133.686,127.5,0.556,-0.231
Japan,City_13,8.6,1108,4.82,2774561,2.55,negative,,,,3.618,0,0,0,0,15,0,0,133.686,127.5,0.556,-0.231
Japan,City_48,7.27,1007,4.72,10667972,3.4,neutral,low,good,,3.978,0,0,1,1,12,0,0,133.686,127.5,0.556,-0.231
Japan,City_3,8.26,334,4.74,17424921,3.01,negative,,,,5.999,0,0,0,0,5,1,1,133.686,127.5,0.556,-0.231
Japan,City_40,9.18,1036,4.39,15388243,3.12,neutral,,,0.01,3.46,0,0,0,0,16,0,0,133.686,127.5,0.556,-0.231
Japan,City_43,7.79,397,4.29,19493149,4.92,positive,low,bad,,5.502,0,1,0,1,7,0,0,133.686,127.5,0.556,-0.231
Japan,City_17,9.09,446,4.15,6385525,2.61,negative,,,,4.963,0,0,0,0,8,0,0,133.686,127.5,0.556,-0.231
Japan,City_31,8.53,302,4.49,15001843,2.24,neutral,high,average,,6.112,0,0,0,0,4,1,1,133.686,127.5,0.556,-0.231
Japan,City_5,9.34,1331,3.77,7238823,,,low,good,,3.731,0,0,1,1,14,0,0,133.686,127.5,0.556,-0.231
Japan,City_6,7.03,200,4.19,18316025,3.38,neutral,high,bad,,6.676,0,1,0,0,3,1,1,133.686,127.5,0.556,-0.231
Japan,City_9,9.4,938,4.2,9216499,3.8,neutral,,,,3.825,0,0,0,0,13,0,0,133.686,127.5,0.556,-0.231
Japan,City_10,8.47,232,4.94,17762779,,,high,bad,,7.757,0,0,0,0,1,1,1,133.686,127.5,0.556,-0.231
Japan,City_45,9.35,373,4.27,13862653,,,high,average,,5.63,0,0,0,0,6,0,0,133.686,127.5,0.556,-0.231
Japan,City_39,9.04,619,4.31,8907609,,,high,good,,4.554,0,0,1,0,10,0,0,133.686,127.5,0.556,-0.231
Japan,City_26,7.44,902,4.86,16362558,1.87,negative,medium,average,,3.068,0,1,0,0,19,0,0,133.686,127.5,0.556,-0.231
Japan,City_18,9.73,938,4.19,9252439,2.26,negative,,,,3.381,0,0,0,0,17,0,0,133.686,127.5,0.556,-0.231
Japan,City_50,8.2,1246,4.14,19301378,1.68,negative,,,,2.574,0,0,0,0,20,0,0,133.686,127.5,0.556,-0.231
Japan,City_28,9.1,1198,4.57,15697117,,,,,,3.28,0,0,0,0,18,0,0,133.686,127.5,0.556,-0.231
Portugal,City_14,8.91,304,3.74,15556141,,,,,,5.9,0,0,0,0,6,0,0,86.35,89.6,0.472,-0.049
Portugal,City_44,9.88,1469,4.93,13516617,1.4,negative,high,good,,2.986,0,0,1,0,19,0,0,86.35,89.6,0.472,-0.049
Portugal,City_38,8.37,1139,4.43,15766396,3.24,neutral,low,good,,3.855,0,0,1,1,14,0,0,86.35,89.6,0.472,-0.049
Portugal,City_27,9.46,1034,4.99,13691269,4.44,positive,,,,4.267,0,0,0,0,13,0,0,86.35,89.6,0.472,-0.049
Portugal,City_48,7.28,300,4.1,1014610,1.98,negative,high,bad,,5.784,0,0,0,0,8,0,0,86.35,89.6,0.472,-0.049
Portugal,City_18,9.81,805,3.89,316800,,,high,good,,8.516,1,0,1,0,2,1,1,86.35,89.6,0.472,-0.049
Portugal,City_29,7.1,1290,3.68,5036304,3.14,neutral,,,,2.97,0,0,0,0,20,0,0,86.35,89.6,0.472,-0.049
Portugal,City_32,7.05,896,4.77,2602488,4.19,positive,,,,4.292,0,0,0,0,12,0,0,86.35,89.6,0.472,-0.049
Portugal,City_42,7.3,203,3.65,4555595,4.01,neutral,,,,7.11,0,0,0,0,4,1,1,86.35,89.6,0.472,-0.049
Portugal,City_23,7.17,1102,4.42,7936550,4.55,positive,low,bad,,3.55,0,0,0,1,15,0,0,86.35,89.6,0.472,-0.049
Portugal,City_6,8.57,1069,3.6,8436493,2.99,negative,,,,3.009,0,0,0,0,17,0,0,86.35,89.6,0.472,-0.049
Portugal,City_21,7.1,894,3.88,5368127,3.54,neutral,,,0.055,3.423,0,0,0,0,16,0,0,86.35,89.6,0.472,-0.049
Portugal,City_8,7.04,437,4.97,10682408,3.93,neutral,,,,5.116,0,0,0,0,9,0,0,86.35,89.6,0.472,-0.049
Portugal,City_43,9.92,221,3.57,14678841,4.47,positive,,,,8.284,0,0,0,0,3,1,1,86.35,89.6,0.472,-0.049
Portugal,City_22,8.92,596,4.67,678486,1.31,negative,medium,bad,,5.8,0,0,0,0,7,0,0,86.35,89.6,0.472,-0.049
Portugal,City_13,7.72,399,3.87,7816399,2.74,negative,low,average,,4.764,0,0,0,1,10,0,0,86.35,89.6,0.472,-0.049
Portugal,City_16,9.78,651,4.14,101337,4.07,positive,low,average,,14.513,1,0,0,1,1,1,1,86.35,89.6,0.472,-0.049
Portugal,City_2,8.28,587,4.56,3511794,,,,,,4.66,0,0,0,0,11,0,0,86.35,89.6,0.472,-0.049
Portugal,City_45,8.34,1241,4.04,18601251,,,,,,2.989,0,0,0,0,18,0,0,86.35,89.6,0.472,-0.049
Portugal,City_4,7.7,364,4.91,4895032,4.87,positive,,,,6.605,0,0,0,0,5,1,1,86.35,89.6,0.472,-0.049
Germany,City_46,8.15,662,4.85,16731733,1.92,negative,,,,3.771,0,0,0,0,8,0,0,138.825,139.7,0.472,-0.314
Germany,City_15,9.98,1212,3.66,3955517,1.79,negative,medium,bad,,2.705,1,0,0,0,19,0,0,138.825,139.7,0.472,-0.314
Germany,City_24,7.7,1086,3.59,17909523,3.75,neutral,,,,3.114,0,1,0,0,16,0,0,138.825,139.7,0.472,-0.314
Germany,City_11,7.34,609,3.91,17524235,,,,,,3.683,0,1,0,0,10,0,0,138.825,139.7,0.472,-0.314
Germany,City_22,8.12,822,4.62,14841366,2.61,negative,,,,3.428,0,0,0,0,12,0,0,138.825,139.7,0.472,-0.314
Germany,City_28,9.39,972,4.17,13628140,2.31,negative,,,,3.209,0,0,0,0,14,0,0,138.825,139.7,0.472,-0.314
Germany,City_4,9.52,309,4.33,5190375,2.93,neutral,high,average,,6.761,0,0,0,0,2,1,1,138.825,139.7,0.472,-0.314
Germany,City_7,8.65,715,4.63,18407562,,,,,,4.004,0,0,0,0,6,0,0,138.825,139.7,0.472,-0.314
Germany,City_10,7.45,1432,4.56,2493498,3.45,neutral,,,,3.467,0,0,0,0,11,0,0,138.825,139.7,0.472,-0.314
Germany,City_49,8.84,504,3.73,14805417,3.18,neutral,,,,4.403,0,0,0,0,5,1,1,138.825,139.7,0.472,-0.314
Germany,City_3,9.09,1076,4.41,9213690,2.71,neutral,high,average,,3.177,0,0,0,0,15,0,0,138.825,139.7,0.472,-0.314
Germany,City_37,9.9,212,3.91,3921735,4.95,positive,,,,9.568,1,0,0,0,1,1,1,138.825,139.7,0.472,-0.314
Germany,City_35,9.69,1122,4.33,10060658,4.22,positive,,,,3.966,0,0,0,0,7,0,0,138.825,139.7,0.472,-0.314
Germany,City_5,9.91,1498,4.26,18723722,1.48,negative,high,good,,2.788,0,0,1,0,18,0,0,138.825,139.7,0.472,-0.314
Germany,City_2,8.12,372,4.0,9908694,3.31,positive,,,,5.411,0,0,0,0,3,1,1,138.825,139.7,0.472,-0.314
Germany,City_8,9.9,907,3.57,15744515,4.31,neutral,high,good,,3.966,0,0,1,0,7,0,0,138.825,139.7,0.472,-0.314
Germany,City_13,7.99,1115,3.66,12196358,,,medium,good,,3.398,0,0,1,0,13,0,0,138.825,139.7,0.472,-0.314
Germany,City_38,9.22,830,4.3,9708898,4.23,positive,high,bad,,3.729,0,0,0,0,9,0,0,138.825,139.7,0.472,-0.314
Germany,City_26,7.61,1342,4.51,18288172,1.66,negative,low,good,,3.11,0,1,1,1,17,0,0,138.825,139.7,0.472,-0.314
Germany,City_40,7.82,466,4.78,9739174,,,medium,good,,5.316,0,0,1,0,4,1,1,138.825,139.7,0.472,-0.314
USA,City_24,9.13,531,4.19,4781086,1.94,negative,low,bad,,4.283,0,0,0,1,10,0,0,118.711,120.9,0.417,0.3
USA,City_8,8.59,1482,3.63,3861096,3.13,neutral,,,,3.153,0,0,0,0,18,0,0,118.711,120.9,0.417,0.3
USA,City_3,8.28,381,4.43,590063,2.44,negative,,,,7.457,0,0,0,0,2,1,1,118.711,120.9,0.417,0.3
USA,City_39,7.63,759,3.65,3163928,3.95,neutral,,,,3.939,0,0,0,0,13,0,0,118.711,120.9,0.417,0.3
USA,City_2,9.09,725,4.59,11710217,3.17,neutral,,,,4.161,0,0,0,0,12,0,0,118.711,120.9,0.417,0.3
USA,City_13,7.68,812,4.4,12134970,3.69,neutral,,,,3.705,0,0,0,0,16,0,0,118.711,120.9,0.417,0.3
USA,City_12,9.5,343,3.53,5124805,,,,,,5.736,0,0,0,0,6,0,0,118.711,120.9,0.417,0.3
USA,City_49,8.32,295,4.26,7735006,1.53,negative,low,good,,6.524,0,0,1,1,4,1,1,118.711,120.9,0.417,0.3
USA,City_31,9.76,546,4.07,8611891,4.17,positive,high,bad,,4.621,0,0,0,0,8,0,0,118.711,120.9,0.417,0.3
USA,City_14,7.27,795,4.74,339365,4.93,positive,low,average,,7.706,0,0,0,1,1,1,1,118.711,120.9,0.417,0.3
USA,City_4,8.87,1378,4.82,865836,2.22,neutral,,,,4.678,0,0,0,0,7,0,0,118.711,120.9,0.417,0.3
USA,City_46,7.4,1404,4.32,19450528,3.12,neutral,high,average,,2.653,0,1,0,0,20,0,0,118.711,120.9,0.417,0.3
USA,City_35,8.51,773,4.88,7712272,2.78,neutral,low,bad,,3.793,0,0,0,1,15,0,0,118.711,120.9,0.417,0.3
USA,City_28,7.86,316,4.88,12542552,2.67,neutral,,,,6.24,0,0,0,0,5,1,1,118.711,120.9,0.417,0.3
USA,City_7,7.95,692,4.86,8612230,3.4,neutral,,,,4.187,0,0,0,0,11,0,0,118.711,120.9,0.417,0.3
USA,City_17,9.66,1112,4.86,17195998,3.49,neutral,high,good,,3.862,0,0,1,0,14,0,0,118.711,120.9,0.417,0.3
USA,City_5,7.44,566,4.16,8392194,2.87,neutral,medium,bad,,3.607,0,0,0,0,17,0,0,118.711,120.9,0.417,0.3
USA,City_15,9.09,1379,3.56,8634539,3.21,neutral,,,,3.032,0,0,0,0,19,0,0,118.711,120.9,0.417,0.3
USA,City_34,7.18,998,4.61,323057,4.59,positive,high,average,,6.932,0,0,0,0,3,1,1,118.711,120.9,0.417,0.3
USA,City_21,9.02,1077,4.28,1185861,3.17,negative,high,average,,4.292,0,0,0,0,9,0,0,118.711,120.9,0.417,0.3
